2026-03-23 14:01:53 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 14:01:53 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 14:01:53 | DEBUG    | __main__ | CLI args: {'api_key': None, 'api_secret': None, 'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'STOP_MARKET', 'quantity': 0.002, 'price': None, 'stop_price': 80000.0, 'log_level': 'DEBUG'}
2026-03-23 14:01:53 | DEBUG    | bot.validators | Symbol validated: BTCUSDT
2026-03-23 14:01:53 | DEBUG    | bot.validators | Side validated: SELL
2026-03-23 14:01:53 | DEBUG    | bot.validators | Order type validated: STOP_MARKET
2026-03-23 14:01:53 | DEBUG    | bot.validators | Quantity validated: 0.002
2026-03-23 14:01:53 | DEBUG    | bot.validators | Price not required for STOP_MARKET order.
2026-03-23 14:01:53 | DEBUG    | bot.validators | Stop price validated: 80000.0
2026-03-23 14:01:53 | INFO     | bot.client | BinanceClient initialised → base_url=https://demo-fapi.binance.com
2026-03-23 14:01:53 | DEBUG    | bot.client | → GET https://demo-fapi.binance.com/fapi/v1/time  params={}
2026-03-23 14:01:53 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): demo-fapi.binance.com:443
2026-03-23 14:01:54 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-23 14:01:54 | DEBUG    | bot.client | ← HTTP 200  body={"serverTime":1774254714724}
2026-03-23 14:01:54 | INFO     | __main__ | Server time: {'serverTime': 1774254714724}
2026-03-23 14:01:54 | INFO     | bot.orders | Submitting SELL STOP_MARKET order | symbol=BTCUSDT qty=0.002 price=None stop=80000.0
2026-03-23 14:01:54 | INFO     | bot.client | Placing order → {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.002, 'stopPrice': 80000.0}
2026-03-23 14:01:54 | DEBUG    | bot.client | → POST https://demo-fapi.binance.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.002, 'stopPrice': 80000.0, 'timestamp': 1774254714822}
2026-03-23 14:01:55 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "POST /fapi/v1/order HTTP/1.1" 400 115
2026-03-23 14:01:55 | DEBUG    | bot.client | ← HTTP 400  body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-23 14:01:55 | ERROR    | bot.client | API error HTTP 400 code=-4120 msg=Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-23 14:01:55 | ERROR    | bot.orders | Binance API error while placing order: [HTTP 400] Binance error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-23 14:01:55 | ERROR    | __main__ | Order placement failed: [HTTP 400] Binance error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-23 14:02:23 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 14:02:23 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 14:02:23 | DEBUG    | __main__ | CLI args: {'api_key': None, 'api_secret': None, 'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'LIMIT', 'quantity': 0.002, 'price': 120000.0, 'stop_price': None, 'log_level': 'DEBUG'}
2026-03-23 14:02:23 | DEBUG    | bot.validators | Symbol validated: BTCUSDT
